feat_ID,RT,Compound,H-MA_1,H-MA_2,H-MA_3,H-M-EC_1,H-M-EC_2,H-M-EC_3,H-M-T5_1,H-M-T5_2,H-M-T5_3,H-N-GE-WS_1,H-N-GE-WS_2,H-N-GE-WS_3,H-WI_1,H-WI_2,H-WI_3,C-MA_1,C-MA_2,C-MA_3,C-M-EC_1,C-M-EC_2,C-M-EC_3,C-M-T5_1,C-M-T5_2,C-M-T5_3,C-N-GE-WS_1,C-N-GE-WS_2,C-N-GE-WS_3,C-WI_1,C-WI_2,C-WI_3,Odour,Key Odorant,LRI Exp,LRI Teo,Delta_LRI,CAS_ID,InChIKey
11,6.03,4-methyl-3-Penten-2-one,4.50E+06,2.72E+06,2.01E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,vegetable,,1129,1118,11,141-79-7,SHOJXDKTYKFBRD-UHFFFAOYSA-N
12,6.84,1-Penten-3-ol,4.17E+06,3.27E+06,2.04E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.08E+06,2.05E+06,2.53E+06,0.00E+00,0.00E+00,0.00E+00,green,,1163,1157,6,616-25-1,VHVMXWZXFBOANQ-UHFFFAOYSA-N
13,7.31,D-Limonene,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.34E+06,3.10E+06,2.16E+06,4.60E+06,9.69E+06,6.60E+06,citrus,X,1182,1175,7,138-86-3,XMGQYMWWDOXHJM-UHFFFAOYSA-N
14,7.45,Pyridine,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.73E+06,2.26E+06,2.16E+06,0.00E+00,0.00E+00,0.00E+00,fishy,,1188,1213,25,110-86-1,JUJWROOIHBZHMG-UHFFFAOYSA-N
15,7.75,trimethyl-oxazole,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.70E+06,3.64E+06,4.59E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.12E+06,1.29E+06,1.40E+06,0.00E+00,0.00E+00,0.00E+00,nutty,,1200,1200,0,20662-84-4,ZRLDBDZSLLGDOX-UHFFFAOYSA-N
16,7.76,Eucalyptol,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.92E+06,9.72E+05,1.67E+06,herbal,,1201,1179,22,470-82-6,WEEGYLXZBRQIMU-UHFFFAOYSA-N
17,8.1,(E)-2-Hexenal,3.63E+07,3.45E+07,8.25E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.20E+07,4.74E+07,4.72E+07,9.96E+06,1.12E+07,1.16E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.95E+07,1.53E+07,1.54E+07,green,X,1214,1222,8,6728-26-3,MBDOYVRWFFCFHM-SNAWJCMRSA-N
18,8.26,2-pentyl-furan,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.38E+06,6.68E+04,1.36E+06,fruity,,1220,1235,15,3777-69-3,YVBAUDVGOFCUSG-UHFFFAOYSA-N
19,9.17,1-butyl-1H-Pyrrole,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.20E+06,6.79E+06,6.67E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.65E+06,4.62E+06,4.54E+06,0.00E+00,0.00E+00,0.00E+00,NC,,1255,1250,5,589-33-3,IIYSNNBEZBAQCQ-UHFFFAOYSA-N
20,9.24,o-Cymene,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.13E+06,1.18E+06,1.15E+06,NC,,1257,1254,3,527-84-4,WWRCMNKATXZARA-UHFFFAOYSA-N
21,9.73,Octanal,0.00E+00,0.00E+00,0.00E+00,4.27E+06,3.30E+06,3.12E+06,0.00E+00,0.00E+00,0.00E+00,4.45E+06,4.41E+06,5.15E+06,0.00E+00,0.00E+00,0.00E+00,8.31E+05,1.01E+06,1.06E+06,0.00E+00,0.00E+00,0.00E+00,1.22E+06,1.11E+06,1.38E+06,8.57E+05,1.49E+06,1.11E+06,1.02E+06,5.65E+05,7.59E+05,aldehydic,X,1276,1277,1,124-13-0,NUJGJRNETVAIRJ-UHFFFAOYSA-N
22,10.63," 2,2,6-trimethyl-Cyclohexanone",7.57E+06,6.48E+06,5.32E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.79E+06,4.79E+06,4.12E+06,9.09E+06,1.03E+07,1.01E+07,1.17E+06,2.08E+06,2.15E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.83E+06,2.01E+06,2.32E+06,2.93E+06,2.94E+06,2.46E+06,floral,,1311,1284,27,2408-37-9,ZPVOLGVTNLDBFI-UHFFFAOYSA-N
23,10.76,(Z)-2-Heptenal,0.00E+00,0.00E+00,0.00E+00,7.46E+06,2.23E+06,2.60E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NC,,1316,1319,3,57266-86-1,NDFKTBCGKNOHPJ-WAYWQWQTSA-N
24,10.92,"2,5-dimethyl-Pyrazine",0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.62E+07,2.78E+07,2.09E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.06E+06,1.60E+06,1.58E+06,0.00E+00,0.00E+00,0.00E+00,chocolate,X,1322,1310,12,123-32-0,LCZUOKDVTBMCMX-UHFFFAOYSA-N
25,10.99,2-Heptanol,4.34E+07,4.04E+07,1.22E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.68E+07,1.76E+07,1.70E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,citrus,X,1325,1318,7,543-49-7,CETWDUZRCINIHU-UHFFFAOYSA-N
26,11.23,6-methyl-5-Hepten-2-one,7.91E+06,7.08E+06,6.46E+07,1.51E+07,1.51E+06,1.75E+06,7.87E+06,7.19E+06,8.55E+06,2.42E+07,2.42E+07,2.14E+07,9.07E+06,8.83E+06,9.43E+06,0.00E+00,0.00E+00,0.00E+00,2.66E+06,2.44E+06,2.74E+06,3.91E+06,3.39E+06,2.99E+06,1.78E+07,1.80E+07,2.17E+07,1.76E+06,1.67E+06,1.74E+06,citrus,X,1334,1327,7,110-93-0,UHEPJGULSIKKTP-UHFFFAOYSA-N
27,11.86,1-Hexanol,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.50E+07,5.20E+07,6.75E+08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,herbal,X,1358,1353,5,111-27-3,ZSIAUFGUXNUGDI-UHFFFAOYSA-N
28,12.6,(Z)-3-Hexen-1-ol,8.84E+06,9.86E+06,3.28E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.34E+07,4.30E+07,4.37E+07,1.47E+07,1.72E+07,1.75E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.64E+07,3.16E+07,3.13E+07,0.00E+00,0.00E+00,0.00E+00,green,X,1386,1381,5,928-96-1,UFLHIIWVXFIJGU-ARJAWSKDSA-N
29,12.68,Nonanal,1.49E+08,1.75E+08,5.50E+07,1.17E+08,9.85E+07,1.10E+08,9.22E+07,1.03E+08,8.49E+07,4.89E+07,4.45E+07,4.47E+07,3.04E+07,3.84E+07,3.98E+07,3.11E+07,3.02E+07,3.70E+07,1.87E+07,1.77E+07,2.45E+07,3.22E+07,2.85E+07,3.43E+07,2.58E+07,3.21E+07,3.09E+07,1.83E+07,1.16E+07,1.35E+07,aldehydic,X,1389,1387,2,124-19-6,GYHFUZHODSMOHU-UHFFFAOYSA-N
30,13.03,2-Ethyl-3-Methylpyrazine,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.85E+07,4.07E+07,4.22E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.64E+06,6.64E+06,8.19E+06,0.00E+00,0.00E+00,0.00E+00,nutty,,1403,1414,11,15707-23-0,LNIMMWYNSBZESE-UHFFFAOYSA-N
31,13.18,Cyclohexanol,6.21E+07,6.11E+07,8.12E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.71E+07,6.33E+07,6.74E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.07E+06,3.82E+06,3.64E+06,0.00E+00,0.00E+00,0.00E+00,camphoreous,,1409,1403,6,108-93-0,HPXRVTGHNJAIIH-UHFFFAOYSA-N
32,13.2,(E)-2-Hexen-1-ol,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.66E+07,3.86E+07,3.87E+07,0.00E+00,0.00E+00,0.00E+00,5.51E+06,6.87E+06,6.51E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,fruity,,1410,1406,4,928-95-0,ZCHHRLHTBGRGOT-SNAWJCMRSA-N
33,14.05,Linalool oxide,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.24E+07,5.22E+07,5.49E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,earthy,X,1443,1431,12,5989-33-3,BRHDDEIRQPDPMG-PSASIEDQSA-N
34,14.09,"2,3-Dimethyl-5-ethylpyrazine",0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.06E+07,4.67E+07,4.79E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,burnt,,1445,1445,0,15707-34-3,CIBKSMZEVHTQLG-UHFFFAOYSA-N
35,14.29,1-Octen-3-ol,3.93E+07,3.58E+07,2.92E+06,1.05E+07,6.55E+06,5.82E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.19E+07,1.24E+07,1.35E+07,1.63E+06,1.91E+06,1.98E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.95E+05,6.28E+05,7.05E+05,earthy,X,1453,1452,1,3391-86-4,VSMOENVRRABVKN-UHFFFAOYSA-N
36,14.4,Furfural,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.42E+06,4.44E+06,3.82E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+06,1.89E+06,2.35E+06,0.00E+00,0.00E+00,0.00E+00,bready,,1457,1462,5,98-01-1,HYBBIBNJHNGZAN-UHFFFAOYSA-N
37,15.17,Menthofuran,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.91E+06,8.19E+06,7.20E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,musty,,1488,1487,1,494-90-6,YGWKXXYGDYYFJU-UHFFFAOYSA-N
38,15.28,2-ethyl-1-Hexanol,0.00E+00,0.00E+00,0.00E+00,9.06E+06,1.71E+07,1.56E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,citrus,,1492,1491,1,104-76-7,YIWUKEYIRIRTPP-UHFFFAOYSA-N
39,15.34,Decanal,1.98E+07,1.93E+07,1.66E+06,1.28E+07,2.01E+07,1.85E+07,1.49E+07,2.11E+07,1.08E+07,2.73E+07,2.29E+07,2.56E+07,2.41E+07,2.88E+07,2.99E+07,1.83E+06,1.57E+06,1.90E+06,2.30E+06,2.88E+06,2.86E+06,2.74E+06,2.43E+06,2.77E+06,2.58E+06,3.84E+06,3.27E+06,2.86E+06,1.34E+06,1.73E+06,aldehydic,X,1494,1490,4,112-31-2,KSMVZQYAVGTKIV-UHFFFAOYSA-N
40,15.42,2-Acetylfuran,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.89E+06,4.49E+06,6.18E+06,0.00E+00,0.00E+00,0.00E+00,balsamic,,1498,1500,2,1192-62-7,IEMMBWWQXVXBEU-UHFFFAOYSA-N
41,15.8,Benzaldehyde,1.16E+08,1.28E+08,2.25E+08,2.41E+07,3.70E+07,4.41E+07,5.57E+07,4.65E+07,4.01E+07,1.39E+08,1.14E+08,1.08E+08,1.38E+08,1.73E+08,1.86E+08,1.42E+07,2.09E+07,2.15E+07,7.24E+06,6.96E+06,7.93E+06,2.02E+07,1.38E+07,1.70E+07,4.32E+07,4.33E+07,4.95E+07,4.58E+07,4.45E+07,4.56E+07,fruity,X,1513,1513,0,100-52-7,HUMNYLRZRPPJDN-UHFFFAOYSA-N
42,16.1,"2-(3-Methylbutyl)-3,5-dimethylpyrazine",0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.43E+06,9.75E+06,8.99E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NC,,1526,1530,4,111150-30-2,ZVLSVDOZUWIUIJ-UHFFFAOYSA-N
43,16.67,Linalool,7.22E+07,7.37E+07,9.20E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.17E+07,1.72E+07,1.79E+07,6.15E+08,6.71E+08,6.71E+08,2.79E+06,2.94E+06,2.98E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.25E+06,2.42E+06,1.74E+06,5.66E+07,5.77E+07,5.77E+07,floral,X,1550,1550,0,78-70-6,CDOSHBSSFJOMGT-UHFFFAOYSA-N
44,17.06,"(E,E)-3,5-Octadien-2-one",5.18E+06,5.21E+06,1.97E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.40E+06,1.34E+07,1.59E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.66E+05,1.08E+06,7.92E+05,fatty,X,1566,1567,1,38284-27-4,LWRKMRFJEUFXIB-YTXTXJHMSA-N
45,17.08,5-methylfurfural,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.67E+07,1.51E+07,1.76E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.22E+06,3.04E+06,4.35E+06,0.00E+00,0.00E+00,0.00E+00,caramellic,,1567,1566,1,620-02-0,OUDFNZMQXZILJD-UHFFFAOYSA-N
46,18.13,Hotrienol,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.85E+06,4.44E+06,5.05E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NC,X,1611,1620,9,20053-88-7,ZJIQIJIQBTVTDY-FGEFZZPRSA-N
47,18.2,beta-Cyclocitral,4.21E+07,4.14E+07,8.36E+06,2.24E+07,2.42E+07,2.51E+07,1.07E+07,7.11E+06,8.87E+06,3.03E+07,3.04E+07,2.59E+07,5.62E+07,6.57E+07,6.74E+07,2.76E+06,3.70E+06,4.26E+06,2.12E+06,1.72E+06,2.02E+06,0.00E+00,0.00E+00,0.00E+00,9.41E+06,8.06E+06,8.58E+06,9.38E+06,9.47E+06,1.05E+07,tropical,X,1614,1606,8,432-25-7,MOQGCGNUWBPGTQ-UHFFFAOYSA-N
48,18.31,"5H-5-Methyl-6,7-dihydrocyclopentapyrazine",0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.16E+06,4.64E+06,4.53E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,earthy,,1619,1616,3,23747-48-0,YZEFQPIMXZVPKP-UHFFFAOYSA-N
