Compound,H-MA1,H-MA2,H-MA3,H-MEC1,H-MEC2,H-MEC3,H-MT51,H-MT52,H-MT53,H-NGE1,H-NGE2,H-NGE3,H-WI1,H-WI2,H-WI3,C-MA1,C-MA2,C-MA3,C-MEC1,C-MEC2,C-MEC3,C-MT51,C-MT52,C-MT53,C-NGE1,C-NGE2,C-NGE3,C-WI1,C-WI2,C-WI3
group,H-MA,H-MA,H-MA,H-MEC,H-MEC,H-MEC,H-MT5,H-MT5,H-MT5,H-NGE,H-NGE,H-NGE,H-WI,H-WI,H-WI,C-MA,C-MA,C-MA,C-MEC,C-MEC,C-MEC,C-MT5,C-MT5,C-MT5,C-NGE,C-NGE,C-NGE,C-WI,C-WI,C-WI
55,0,0,0,0,0,0,0,0,0,4830000,5030000,4830000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,4720000,5720000,107000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,20100000,21200000,22600000,12400000,15500000,11200000,0,0,0,0,0,0,0,0,0,1590000,1130000,1430000,0,0,0,0,0,0,0,0,0
58,614000000,668000000,1200000000,71800000,61800000,76100000,135000000,134000000,85500000,446000000,314000000,279000000,513000000,699000000,835000000,66500000,87000000,99100000,19200000,10800000,15900000,30800000,19700000,26900000,76600000,74400000,89700000,157000000,163000000,149000000
59,0,0,0,0,0,0,0,0,0,9790000,7650000,5660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030000,1160000,1320000,0,0,0
61,6890000,6360000,2040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,8090000,9770000,10600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,15400000,16800000,13400000,13500000,18000000,18900000,0,0,0,0,0,0,0,0,0,0,0,0,1070000,1030000,1430000,0,0,0
64,0,0,0,0,0,0,0,0,0,6960000,7690000,8380000,0,0,0,0,0,0,0,0,0,0,0,0,1090000,1450000,1400000,0,0,0
65,0,0,0,0,0,0,12600000,16100000,6310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,31500000,35700000,7140000,41700000,48000000,62300000,30300000,37500000,23100000,61400000,51300000,56700000,62100000,81400000,90400000,1960000,2760000,3550000,3910000,3200000,4130000,3060000,2020000,3020000,6600000,6330000,7800000,8120000,8710000,8360000
67,26200000,29500000,4210000,38700000,41300000,54800000,41900000,51500000,31200000,41200000,46300000,47500000,18600000,25000000,28900000,1330000,1660000,2030000,3470000,2340000,3130000,4120000,2570000,3550000,4410000,4800000,7300000,2680000,2960000,2720000
68,0,0,0,0,0,0,0,0,0,0,0,0,38400000,49700000,54200000,0,0,0,0,0,0,0,0,0,0,0,0,7520000,5380000,5050000
69,20500000,21600000,48800000,10500000,8180000,11100000,20800000,24500000,9830000,65700000,44100000,33900000,131000000,175000000,198000000,0,0,0,0,0,0,0,0,0,5430000,5220000,5810000,14100000,12500000,13300000
70,11400000,12400000,17800000,0,0,0,5460000,5380000,3450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400000,1120000,1920000,0,0,0
71,62800000,69600000,113000000,53000000,45800000,58100000,42500000,43300000,24700000,114000000,93300000,92200000,130000000,174000000,201000000,2540000,3380000,4350000,2940000,1940000,2550000,2870000,1640000,2030000,8460000,7620000,10400000,11000000,13700000,12400000
72,2710000,2790000,83500000,0,0,0,0,0,0,10900000,12200000,14800000,0,0,0,0,0,0,0,0,0,0,0,0,1400000,1900000,2430000,0,0,0
73,31500000,36600000,79700000,87700000,53200000,59300000,131000000,162000000,66600000,80300000,120000000,114000000,0,0,0,0,0,0,0,0,0,0,0,0,2850000,4310000,4300000,4060000,2520000,1030000
74,0,0,0,0,0,0,0,0,0,21500000,22000000,20600000,15900000,21700000,25600000,0,0,0,0,0,0,0,0,0,230000,217000,130000,0,0,0
75,7190000,7740000,9150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,18900000,18000000,17200000,18000000,24300000,27400000,0,0,0,0,0,0,0,0,0,681000,542000,970000,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,2230000,2980000,3810000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,4610000,5020000,13100000,16300000,11600000,14300000,32300000,49500000,16000000,15300000,21600000,21500000,0,0,0,0,0,0,0,0,0,0,0,0,996000,1100000,1530000,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,5830000,8630000,3660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,8520000,10200000,26200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,4270000,3850000,12200000,64600000,30300000,33100000,2650000,295000000,49000000,286000000,107000000,257000000,0,0,0,0,0,0,0,0,0,530000,190000,528000,1680000,5710000,2290000,15100000,1870000,788000
82,2460000,3430000,5320000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,3290000,3970000,8430000,0,0,0,24400000,24200000,8460000,29300000,36600000,37200000,4650000,6040000,6680000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,4770000,5470000,15400000,17900000,13100000,17000000,24900000,28100000,18000000,22700000,28900000,33100000,0,0,0,0,0,0,0,0,0,0,0,0,617000,506000,814000,0,0,0
85,4860000,5470000,14200000,17700000,12200000,15100000,24600000,27800000,17900000,23000000,28600000,31800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,21800000,31800000,47500000,17300000,23300000,32500000,0,0,0,12600000,6810000,14800000,30500000,44000000,31200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,6360000,8190000,16400000,16500000,10100000,11800000,33000000,40700000,17000000,29100000,30600000,34400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,3280000,549000,641000,0,0,0,0,0,0,0,0,0,4750000,782000,1700000,0,0,0,0,0,0,0,0,0,0,0,0,1920000,567000,546000
89,0,0,0,0,0,0,10700000,11400000,5150000,9340000,7920000,10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,28700000,29000000,42600000,56100000,50400000,62600000,23500000,22200000,40300000,26800000,22200000,22700000,47300000,62200000,65300000,0,0,0,2620000,1700000,2520000,2600000,1620000,2420000,2930000,1710000,4050000,0,0,0
91,5370000,6210000,12500000,12200000,11300000,15700000,0,0,0,19900000,16000000,15400000,20100000,26200000,31500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810000,743000,994000
